Полицейска статистика 2024,,,,,,,,,,,
,,,,,,,,,,"Престъпления,",
,Благоевград,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,,,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,1050,956.2,610,58.1,536,53,27,3,174,184
1,Престъпления против личността (чл.115 - 159 НК),175,159.37,87,49.71,67,2,6,1,28,30
1.1.,Убийство (чл.115-127 НК),3,2.73,1,33.33,1,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",0,0,0,0,0,0,0,0,0,0
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",1,0.91,0,0,0,0,0,0,0,0
,· Убийство от родител на новородено дете (чл.120-121 НК),0,0,0,0,0,0,0,0,0,0
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",0,0,0,0,0,0,0,0,0,0
1.2.,Разврат (чл.149-159 НК),24,21.86,14,58.33,10,1,0,0,3,4
,· Блудство (чл.149 - 150 НК),7,6.37,2,28.57,2,0,0,0,0,0
,· Изнасилване (чл.152 НК) - довършено,6,5.46,2,33.33,2,0,0,0,0,0
,· Изнасилване (чл.152 НК) - опит,0,0,0,0,0,0,0,0,0,0
,· Сводничество и отвличане за разврат (чл.155 - 156 НК),8,7.29,7,87.5,3,1,0,0,0,0
,· Престъпен/хомосексуализъм (чл.157 НК),2,1.82,2,100,2,0,0,0,0,0
1.3.,Телесна повреда (чл.128 - 135 НК),89,81.05,42,47.19,38,1,6,0,17,18
,"· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)",0,0,0,0,0,0,0,0,0,0
1.4.,"Отвличане и противозаконно лишаване от свобода (чл.142,142а НК)",2,1.82,2,100,4,0,0,0,0,0
1.5.,Задържане на заложник (чл.143а НК),0,0,0,0,0,0,0,0,0,0
1.6.,Трафик на хора (чл.159а - 159г НК),5,4.55,5,100,2,1,0,0,0,0
1.7.,Други против личността,52,47.35,23,44.23,20,0,0,1,8,8
2,"Престъпления против собствеността (чл.194 - 200, 206 - 217 НК)",233,212.18,126,54.08,142,26,9,1,35,37
2.1.,Грабеж (чл.198 - 200 НК),4,3.64,3,75,3,0,1,0,2,4
,· въоръжен грабеж,1,0.91,1,100,1,0,1,0,0,0
,- чрез огнестрелно оръжие,1,0.91,1,100,1,0,1,0,0,0
2.2.,Кражба (чл.194 - 197 НК),123,112.01,83,67.48,83,17,6,0,22,26
,· джебчийска,2,1.82,2,100,3,3,0,0,0,0
,· взломна,11,10.02,7,63.64,8,1,1,0,2,3
,· домова,38,34.61,29,76.32,28,4,5,0,4,4
,· от офиси,1,0.91,0,0,0,0,0,0,0,0
,· от магазини,24,21.86,19,79.17,20,13,1,0,6,9
,· на части и вещи от МПС,3,2.73,1,33.33,1,0,0,0,1,3
,"· на оръжие и боеприпаси - (чл.195,ал.1,т.10, чл.195,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· на селскостопанска продукция, домашни животни и птици",14,12.75,11,78.57,12,6,1,0,3,6
2.3.,"Измама (чл.209 - 211, 213 НК)",29,26.41,4,13.79,6,1,0,1,6,6
2.4.,Изнудване (чл.213а-214 а НК),5,4.55,1,20,3,0,0,0,0,0
2.5.,Други против собствеността,72,65.57,35,48.61,50,8,3,0,5,5
3,Общоопасни престъпления (чл.330-356 к НК),499,454.42,332,66.53,291,14,7,1,87,92
3.1.,Палеж (чл.330-333 НК),17,15.48,2,11.76,2,0,0,0,1,1
,· повреждане чрез взрив (чл.333 НК),0,0,0,0,0,0,0,0,0,0
3.2.,"Незаконно производство, придобиване, държане и използване на оръжие (чл.337-339б НК)",11,10.02,7,63.64,7,0,0,0,0,0
3.3.,Посегателства спрямо МПС,10,9.11,3,30,3,0,0,0,1,1
,"· противозаконно отнемане на МПС (чл.346, ал.1, ал.2, ал.6 НК)",5,4.55,2,40,2,0,0,0,0,0
,"· съдействие при връщане на МПС с цел имотна облага (чл.346,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· кражба на МПС (чл.195, ал.1, т.12 НК)",5,4.55,1,20,1,0,0,0,1,1
,"· грабеж на МПС (чл.346, ал.5; чл.199, ал. 2, т. 2 НК)",0,0,0,0,0,0,0,0,0,0
3.4.,Други действия спрямо МПС,111,101.08,94,84.68,84,6,7,0,20,20
,· използване на чужди регистрационни номера на МПС  (чл.345 НК),105,95.62,94,89.52,84,6,7,0,20,20
,· заличаване/подправяне на идентификационни номера на МПС  (чл.345а НК),6,5.46,0,0,0,0,0,0,0,0
,· незаконно проникване в МПС (чл.346б НК),0,0,0,0,0,0,0,0,0,0
3.5.,"Престъпления с наркотици (чл.242,ал.2-3; чл.270,ал.2; чл.282,ал.5; чл.253,ал.4, чл.354а-354в НК)",91,82.87,41,45.05,40,2,0,0,20,25
,"· контрабанда (чл.242, ал.2 и ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· производство, преработване, придобиване, държане, разпространение, пренасяне (чл.354а НК)",88,80.14,40,45.45,39,2,0,0,20,25
,· склоняване/подпомагане към употреба (чл.354б НК),0,0,0,0,0,0,0,0,0,0
,· засяване/отглеждане на растения (чл.354в),3,2.73,1,33.33,1,0,0,0,0,0
,"· финансови операции и сделки със суми, придобити чрез трафик на наркотици (чл.253, ал.4 НК )",0,0,0,0,0,0,0,0,0,0
,"· възпрепятстване контрол върху трафик на наркотици (чл.270, ал.2 НК)",0,0,0,0,0,0,0,0,0,0
,"· неправомерен контрол върху дейности с наркотици (чл.282, ал.5 НК)",0,0,0,0,0,0,0,0,0,0
3.6.,Престъпления по транспорта (чл.340-344 НК),259,235.86,185,71.43,179,6,0,1,45,45
,"· транспортно причиняване на смърт по непредпазливост (чл.343,ал.1,б.”в”, ал.3, б. ""б”,ал. 4 НК)",7,6.37,1,14.29,1,0,0,0,3,3
,"· транспортни телесни повреди по непредпазливост (чл.343, ал.1, б.”б”, ал.3, б.”а"" НК)",25,22.77,7,28,7,2,0,0,12,12
3.7.,Други общоопасни,0,0,0,0,0,0,0,0,0,0
4,Други криминални престъпления,131,119.3,61,46.56,63,11,5,0,23,25
4.1.,"Престъпления против правата на гражданите (чл.162-169 г,170-171,174 а НК)",6,5.46,2,33.33,3,0,0,0,1,1
4.2.,"Престъпления против брака, семейството и младежта (чл.176-179,181-193 НК)",23,20.95,15,65.22,15,7,0,0,11,11
,· незаконно осиновяване и продажба на дете (чл.182а-182б НК),0,0,0,0,0,0,0,0,0,0
,· неплащане на издръжка (чл.183 НК),17,15.48,13,76.47,13,6,0,0,9,9
4.3.,Престъпления против дейността на държавни органи и обществени организации (чл.269-300 НК),52,47.35,27,51.92,27,4,0,0,4,4
,· използване на полицейски знаци/униформа - (чл.274а НК),0,0,0,0,0,0,0,0,0,0
,· незаконно преминаване през граница  (чл.279 НК),0,0,0,0,0,0,0,0,0,0
,· превеждане през граница (чл.280 -281 НК),0,0,0,0,0,0,0,0,0,0
4.4.,Компютърни престъпления (чл.319а-319в  НК),2,1.82,0,0,0,0,0,0,0,0
4.5.,Престъпления против реда и общественото спокойствие (чл.320-329 НК),48,43.71,17,35.42,21,0,5,0,7,9
,"· образуване и участие в престъпна група (чл.321, 321а НК)",0,0,0,0,0,0,0,0,0,0
,· хулиганство (чл.325 НК),42,38.25,16,38.1,20,0,5,0,7,9
5,"Престъпления, извършени в условията на домашно насилие",53,48.27,28,52.83,22,0,0,0,8,8
6,Смъртни случаи без следи от насилие,6,5.46,0,0,0,0,0,0,0,0
,,,,,,,,,,"Престъпления,",
,Русе,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,(вкл. и противообществени прояви),,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,2464,1158.28,1525,61.89,1269,153,99,19,372,332
1,Престъпления против личността (чл.115 - 159 НК),183,86.02,77,42.08,74,6,11,2,28,28
1.1.,Убийство (чл.115-127 НК),19,8.93,3,15.79,3,1,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",3,1.41,2,66.67,2,0,0,0,0,0
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",0,0,0,0,0,0,0,0,0,0
,· Убийство от родител на новородено дете (чл.120-121 НК),0,0,0,0,0,0,0,0,0,0
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",13,6.11,0,0,0,0,0,0,0,0
1.2.,Разврат (чл.149-159 НК),12,5.64,2,16.67,2,0,0,0,1,1
,· Блудство (чл.149 - 150 НК),4,1.88,2,50,2,0,0,0,0,0
,· Изнасилване (чл.152 НК) - довършено,2,0.94,0,0,0,0,0,0,0,0
,· Изнасилване (чл.152 НК) - опит,0,0,0,0,0,0,0,0,0,0
,· Сводничество и отвличане за разврат (чл.155 - 156 НК),2,0.94,0,0,0,0,0,0,0,0
,· Престъпен/хомосексуализъм (чл.157 НК),0,0,0,0,0,0,0,0,0,0
1.3.,Телесна повреда (чл.128 - 135 НК),102,47.95,40,39.22,51,5,11,1,18,19
,"· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)",0,0,0,0,0,0,0,0,0,0
1.4.,"Отвличане и противозаконно лишаване от свобода (чл.142,142а НК)",4,1.88,2,50,3,0,0,0,0,0
1.5.,Задържане на заложник (чл.143а НК),0,0,0,0,0,0,0,0,0,0
1.6.,Трафик на хора (чл.159а - 159г НК),4,1.88,4,100,1,0,0,0,1,1
1.7.,Други против личността,42,19.74,26,61.9,18,0,0,1,8,8
2,"Престъпления против собствеността (чл.194 - 200, 206 - 217 НК)",906,425.89,426,47.02,350,69,46,9,159,132
2.1.,Грабеж (чл.198 - 200 НК),25,11.75,10,40,20,0,9,0,7,6
,· въоръжен грабеж,0,0,0,0,0,0,0,0,0,0
,- чрез огнестрелно оръжие,0,0,0,0,0,0,0,0,0,0
2.2.,Кражба (чл.194 - 197 НК),685,322.01,333,48.61,250,57,24,9,119,91
,· джебчийска,31,14.57,16,51.61,13,8,1,0,4,3
,· взломна,115,54.06,28,24.35,28,0,0,0,23,21
,· домова,233,109.53,85,36.48,68,9,2,2,40,32
,· от офиси,13,6.11,9,69.23,11,1,1,1,4,4
,· от магазини,139,65.34,109,78.42,100,38,16,6,22,15
,· на части и вещи от МПС,66,31.03,38,57.58,26,4,2,0,20,14
,"· на оръжие и боеприпаси - (чл.195,ал.1,т.10, чл.195,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· на селскостопанска продукция, домашни животни и птици",62,29.15,45,72.58,46,7,9,0,16,8
2.3.,"Измама (чл.209 - 211, 213 НК)",26,12.22,3,11.54,3,0,0,0,6,8
2.4.,Изнудване (чл.213а-214 а НК),7,3.29,2,28.57,2,0,0,0,1,1
2.5.,Други против собствеността,163,76.62,78,47.85,91,13,16,0,26,31
3,Общоопасни престъпления (чл.330-356 к НК),1065,500.64,818,76.81,712,60,28,6,142,137
3.1.,Палеж (чл.330-333 НК),16,7.52,3,18.75,4,0,0,0,0,0
,· повреждане чрез взрив (чл.333 НК),0,0,0,0,0,0,0,0,0,0
3.2.,"Незаконно производство, придобиване, държане и използване на оръжие (чл.337-339б НК)",13,6.11,7,53.85,7,0,0,0,1,1
3.3.,Посегателства спрямо МПС,20,9.4,9,45,11,1,0,0,2,2
,"· противозаконно отнемане на МПС (чл.346, ал.1, ал.2, ал.6 НК)",10,4.7,3,30,4,0,0,0,1,1
,"· съдействие при връщане на МПС с цел имотна облага (чл.346,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· кражба на МПС (чл.195, ал.1, т.12 НК)",10,4.7,6,60,7,1,0,0,1,1
,"· грабеж на МПС (чл.346, ал.5; чл.199, ал. 2, т. 2 НК)",0,0,0,0,0,0,0,0,0,0
3.4.,Други действия спрямо МПС,299,140.55,280,93.65,255,31,17,1,19,17
,· използване на чужди регистрационни номера на МПС  (чл.345 НК),297,139.61,280,94.28,255,31,17,1,18,16
,· заличаване/подправяне на идентификационни номера на МПС  (чл.345а НК),2,0.94,0,0,0,0,0,0,0,0
,· незаконно проникване в МПС (чл.346б НК),0,0,0,0,0,0,0,0,1,1
3.5.,"Престъпления с наркотици (чл.242,ал.2-3; чл.270,ал.2; чл.282,ал.5; чл.253,ал.4, чл.354а-354в НК)",289,135.85,228,78.89,213,16,10,0,39,41
,"· контрабанда (чл.242, ал.2 и ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· производство, преработване, придобиване, държане, разпространение, пренасяне (чл.354а НК)",284,133.5,225,79.23,212,16,10,0,36,39
,· склоняване/подпомагане към употреба (чл.354б НК),0,0,0,0,0,0,0,0,0,0
,· засяване/отглеждане на растения (чл.354в),5,2.35,3,60,3,0,0,0,3,3
,"· финансови операции и сделки със суми, придобити чрез трафик на наркотици (чл.253, ал.4 НК )",0,0,0,0,0,0,0,0,0,0
,"· възпрепятстване контрол върху трафик на наркотици (чл.270, ал.2 НК)",0,0,0,0,0,0,0,0,0,0
,"· неправомерен контрол върху дейности с наркотици (чл.282, ал.5 НК)",0,0,0,0,0,0,0,0,0,0
3.6.,Престъпления по транспорта (чл.340-344 НК),428,201.19,291,67.99,271,14,4,5,81,78
,"· транспортно причиняване на смърт по непредпазливост (чл.343,ал.1,б.”в”, ал.3, б. ""б”,ал. 4 НК)",20,9.4,2,10,2,0,0,0,6,6
,"· транспортни телесни повреди по непредпазливост (чл.343, ал.1, б.”б”, ал.3, б.”а"" НК)",62,29.15,3,4.84,4,1,0,0,27,28
3.7.,Други общоопасни,0,0,0,0,0,0,0,0,0,0
4,Други криминални престъпления,285,133.97,199,69.82,200,19,19,2,38,40
4.1.,"Престъпления против правата на гражданите (чл.162-169 г,170-171,174 а НК)",5,2.35,3,60,3,0,0,0,0,0
4.2.,"Престъпления против брака, семейството и младежта (чл.176-179,181-193 НК)",36,16.92,11,30.56,11,2,1,0,13,11
,· незаконно осиновяване и продажба на дете (чл.182а-182б НК),0,0,0,0,0,0,0,0,0,0
,· неплащане на издръжка (чл.183 НК),34,15.98,10,29.41,10,2,0,0,12,10
4.3.,Престъпления против дейността на държавни органи и обществени организации (чл.269-300 НК),33,15.51,10,30.3,11,0,0,0,4,7
,· използване на полицейски знаци/униформа - (чл.274а НК),1,0.47,1,100,1,0,0,0,0,0
,· незаконно преминаване през граница  (чл.279 НК),0,0,0,0,0,0,0,0,0,0
,· превеждане през граница (чл.280 -281 НК),1,0.47,0,0,0,0,0,0,0,0
4.4.,Компютърни престъпления (чл.319а-319в  НК),6,2.82,0,0,0,0,0,0,0,0
4.5.,Престъпления против реда и общественото спокойствие (чл.320-329 НК),205,96.37,175,85.37,177,17,18,2,21,22
,"· образуване и участие в престъпна група (чл.321, 321а НК)",0,0,0,0,0,0,0,0,0,0
,· хулиганство (чл.325 НК),201,94.49,175,87.06,177,17,18,2,19,20
5,"Престъпления, извършени в условията на домашно насилие",40,18.8,20,50,15,0,1,0,4,3
6,Смъртни случаи без следи от насилие,19,8.93,0,0,0,0,0,0,0,0
,,,,,,,,,,"Престъпления,",
,Силистра,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,(вкл. и противообществени прояви),,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,785,734.66,494,62.93,447,68,19,1,135,131
1,Престъпления против личността (чл.115 - 159 НК),94,87.97,30,31.91,30,2,1,0,29,29
1.1.,Убийство (чл.115-127 НК),11,10.29,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",1,0.94,0,0,0,0,0,0,0,0
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",0,0,0,0,0,0,0,0,0,0
,· Убийство от родител на новородено дете (чл.120-121 НК),1,0.94,0,0,0,0,0,0,0,0
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",9,8.42,0,0,0,0,0,0,0,0
1.2.,Разврат (чл.149-159 НК),6,5.62,2,33.33,2,0,0,0,1,1
,· Блудство (чл.149 - 150 НК),2,1.87,1,50,1,0,0,0,0,0
,· Изнасилване (чл.152 НК) - довършено,0,0,0,0,0,0,0,0,0,0
,· Изнасилване (чл.152 НК) - опит,1,0.94,0,0,0,0,0,0,1,1
,· Сводничество и отвличане за разврат (чл.155 - 156 НК),0,0,0,0,0,0,0,0,0,0
,· Престъпен/хомосексуализъм (чл.157 НК),0,0,0,0,0,0,0,0,0,0
1.3.,Телесна повреда (чл.128 - 135 НК),54,50.54,20,37.04,22,2,1,0,20,21
,"· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)",1,0.94,1,100,1,0,0,0,0,0
1.4.,"Отвличане и противозаконно лишаване от свобода (чл.142,142а НК)",0,0,0,0,0,0,0,0,0,0
1.5.,Задържане на заложник (чл.143а НК),0,0,0,0,0,0,0,0,0,0
1.6.,Трафик на хора (чл.159а - 159г НК),0,0,0,0,0,0,0,0,0,0
1.7.,Други против личността,23,21.53,8,34.78,7,0,0,0,8,7
2,"Престъпления против собствеността (чл.194 - 200, 206 - 217 НК)",213,199.34,144,67.61,144,46,4,0,26,18
2.1.,Грабеж (чл.198 - 200 НК),1,0.94,1,100,1,0,0,0,0,0
,· въоръжен грабеж,1,0.94,1,100,1,0,0,0,0,0
,- чрез огнестрелно оръжие,1,0.94,1,100,1,0,0,0,0,0
2.2.,Кражба (чл.194 - 197 НК),168,157.23,135,80.36,137,46,4,0,19,11
,· джебчийска,1,0.94,1,100,1,0,0,0,1,1
,· взломна,4,3.74,1,25,1,0,0,0,6,1
,· домова,11,10.29,6,54.55,6,3,0,0,1,1
,· от офиси,1,0.94,1,100,1,1,0,0,0,0
,· от магазини,27,25.27,21,77.78,22,14,0,0,3,1
,· на части и вещи от МПС,2,1.87,0,0,0,0,0,0,0,0
,"· на оръжие и боеприпаси - (чл.195,ал.1,т.10, чл.195,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· на селскостопанска продукция, домашни животни и птици",42,39.31,38,90.48,39,8,0,0,3,3
2.3.,"Измама (чл.209 - 211, 213 НК)",14,13.1,2,14.29,1,0,0,0,2,2
2.4.,Изнудване (чл.213а-214 а НК),0,0,0,0,0,0,0,0,0,0
2.5.,Други против собствеността,30,28.08,6,20,6,0,0,0,5,7
3,Общоопасни престъпления (чл.330-356 к НК),383,358.44,273,71.28,242,8,14,1,63,62
3.1.,Палеж (чл.330-333 НК),7,6.55,2,28.57,2,0,0,0,3,3
,· повреждане чрез взрив (чл.333 НК),0,0,0,0,0,0,0,0,0,0
3.2.,"Незаконно производство, придобиване, държане и използване на оръжие (чл.337-339б НК)",6,5.62,5,83.33,4,0,0,0,0,0
3.3.,Посегателства спрямо МПС,6,5.62,5,83.33,6,0,2,1,2,2
,"· противозаконно отнемане на МПС (чл.346, ал.1, ал.2, ал.6 НК)",4,3.74,3,75,4,0,2,0,1,1
,"· съдействие при връщане на МПС с цел имотна облага (чл.346,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· кражба на МПС (чл.195, ал.1, т.12 НК)",1,0.94,1,100,1,0,0,0,1,1
,"· грабеж на МПС (чл.346, ал.5; чл.199, ал. 2, т. 2 НК)",1,0.94,1,100,1,0,0,1,0,0
3.4.,Други действия спрямо МПС,116,108.56,98,84.48,90,3,9,0,10,11
,· използване на чужди регистрационни номера на МПС  (чл.345 НК),112,104.82,97,86.61,90,3,9,0,9,9
,· заличаване/подправяне на идентификационни номера на МПС  (чл.345а НК),4,3.74,1,25,2,0,0,0,1,2
,· незаконно проникване в МПС (чл.346б НК),0,0,0,0,0,0,0,0,0,0
3.5.,"Престъпления с наркотици (чл.242,ал.2-3; чл.270,ал.2; чл.282,ал.5; чл.253,ал.4, чл.354а-354в НК)",71,66.45,51,71.83,50,2,3,0,9,10
,"· контрабанда (чл.242, ал.2 и ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· производство, преработване, придобиване, държане, разпространение, пренасяне (чл.354а НК)",70,65.51,51,72.86,50,2,3,0,9,10
,· склоняване/подпомагане към употреба (чл.354б НК),0,0,0,0,0,0,0,0,0,0
,· засяване/отглеждане на растения (чл.354в),1,0.94,0,0,0,0,0,0,0,0
,"· финансови операции и сделки със суми, придобити чрез трафик на наркотици (чл.253, ал.4 НК )",0,0,0,0,0,0,0,0,0,0
,"· възпрепятстване контрол върху трафик на наркотици (чл.270, ал.2 НК)",0,0,0,0,0,0,0,0,0,0
,"· неправомерен контрол върху дейности с наркотици (чл.282, ал.5 НК)",0,0,0,0,0,0,0,0,0,0
3.6.,Престъпления по транспорта (чл.340-344 НК),177,165.65,112,63.28,110,3,0,0,39,39
,"· транспортно причиняване на смърт по непредпазливост (чл.343,ал.1,б.”в”, ал.3, б. ""б”,ал. 4 НК)",6,5.62,3,50,3,2,0,0,6,6
,"· транспортни телесни повреди по непредпазливост (чл.343, ал.1, б.”б”, ал.3, б.”а"" НК)",10,9.36,3,30,3,0,0,0,5,5
3.7.,Други общоопасни,0,0,0,0,0,0,0,0,0,0
4,Други криминални престъпления,91,85.16,45,49.45,47,13,1,0,16,21
4.1.,"Престъпления против правата на гражданите (чл.162-169 г,170-171,174 а НК)",14,13.1,2,14.29,2,0,0,0,0,0
4.2.,"Престъпления против брака, семейството и младежта (чл.176-179,181-193 НК)",29,27.14,15,51.72,20,8,0,0,9,11
,· незаконно осиновяване и продажба на дете (чл.182а-182б НК),0,0,0,0,0,0,0,0,0,0
,· неплащане на издръжка (чл.183 НК),17,15.91,8,47.06,8,3,0,0,7,7
4.3.,Престъпления против дейността на държавни органи и обществени организации (чл.269-300 НК),31,29.01,20,64.52,19,2,0,0,3,6
,· използване на полицейски знаци/униформа - (чл.274а НК),0,0,0,0,0,0,0,0,0,0
,· незаконно преминаване през граница  (чл.279 НК),0,0,0,0,0,0,0,0,0,0
,· превеждане през граница (чл.280 -281 НК),0,0,0,0,0,0,0,0,0,0
4.4.,Компютърни престъпления (чл.319а-319в  НК),0,0,0,0,0,0,0,0,0,0
4.5.,Престъпления против реда и общественото спокойствие (чл.320-329 НК),17,15.91,8,47.06,8,3,1,0,4,4
,"· образуване и участие в престъпна група (чл.321, 321а НК)",0,0,0,0,0,0,0,0,0,0
,· хулиганство (чл.325 НК),14,13.1,6,42.86,6,2,0,0,3,3
5,"Престъпления, извършени в условията на домашно насилие",33,30.88,15,45.45,14,1,0,0,5,5
6,Смъртни случаи без следи от насилие,1,0.94,0,0,0,0,0,0,0,0
,,,,,,,,,,"Престъпления,",
,Сливен,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,(вкл. и противообществени прояви),,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,1874,1026.56,1019,54.38,932,112,107,6,387,400
1,Престъпления против личността (чл.115 - 159 НК),187,102.44,72,38.5,69,5,6,0,33,37
1.1.,Убийство (чл.115-127 НК),4,2.19,2,50,2,0,0,0,3,3
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",1,0.55,1,100,1,0,0,0,2,2
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",0,0,0,0,0,0,0,0,0,0
,· Убийство от родител на новородено дете (чл.120-121 НК),0,0,0,0,0,0,0,0,1,1
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",0,0,0,0,0,0,0,0,0,0
1.2.,Разврат (чл.149-159 НК),24,13.15,8,33.33,7,0,2,0,4,3
,· Блудство (чл.149 - 150 НК),10,5.48,4,40,4,0,1,0,2,2
,· Изнасилване (чл.152 НК) - довършено,7,3.83,3,42.86,3,0,1,0,1,1
,· Изнасилване (чл.152 НК) - опит,0,0,0,0,0,0,0,0,0,0
,· Сводничество и отвличане за разврат (чл.155 - 156 НК),0,0,0,0,0,0,0,0,0,0
,· Престъпен/хомосексуализъм (чл.157 НК),0,0,0,0,0,0,0,0,0,0
1.3.,Телесна повреда (чл.128 - 135 НК),112,61.35,43,38.39,44,4,4,0,20,25
,"· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)",2,1.1,2,100,2,0,0,0,0,0
1.4.,"Отвличане и противозаконно лишаване от свобода (чл.142,142а НК)",3,1.64,1,33.33,1,0,0,0,0,0
1.5.,Задържане на заложник (чл.143а НК),0,0,0,0,0,0,0,0,0,0
1.6.,Трафик на хора (чл.159а - 159г НК),0,0,0,0,0,0,0,0,0,0
1.7.,Други против личността,44,24.1,18,40.91,17,2,0,0,6,6
2,"Престъпления против собствеността (чл.194 - 200, 206 - 217 НК)",952,521.5,485,50.95,430,42,87,0,138,142
2.1.,Грабеж (чл.198 - 200 НК),20,10.96,17,85,20,0,5,0,5,6
,· въоръжен грабеж,1,0.55,1,100,1,0,0,0,0,0
,- чрез огнестрелно оръжие,0,0,0,0,0,0,0,0,0,0
2.2.,Кражба (чл.194 - 197 НК),716,392.22,383,53.49,360,38,78,0,118,125
,· джебчийска,9,4.93,7,77.78,5,0,0,0,1,1
,· взломна,127,69.57,60,47.24,80,1,22,0,34,34
,· домова,205,112.3,101,49.27,104,14,28,0,49,52
,· от офиси,15,8.22,10,66.67,14,1,6,0,5,6
,· от магазини,107,58.61,75,70.09,84,10,16,0,8,9
,· на части и вещи от МПС,56,30.68,28,50,24,1,4,0,3,3
,"· на оръжие и боеприпаси - (чл.195,ал.1,т.10, чл.195,ал.3 НК)",3,1.64,0,0,0,0,0,0,0,0
,"· на селскостопанска продукция, домашни животни и птици",78,42.73,43,55.13,75,8,20,0,15,19
