Полицейска статистика 2024,,,,,,,,,,,
,,,,,,,,,,"Престъпления,",
,Благоевград,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,,,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
4.1.,"Престъпления против правата на гражданите (чл.162-169 г,170-171,174 а НК)",22,5.37,4,18.18,4,0,1,0,2,4
4.2.,"Престъпления против брака, семейството и младежта (чл.176-179,181-193 НК)",88,21.48,33,37.5,35,10,0,1,38,38
,· незаконно осиновяване и продажба на дете (чл.182а-182б НК),0,0,0,0,0,0,0,0,0,0
,· неплащане на издръжка (чл.183 НК),52,12.69,20,38.46,20,8,0,1,27,27
4.3.,Престъпления против дейността на държавни органи и обществени организации (чл.269-300 НК),141,34.41,74,52.48,67,17,2,23,16,15
,· използване на полицейски знаци/униформа - (чл.274а НК),0,0,0,0,0,0,0,0,0,0
,· незаконно преминаване през граница  (чл.279 НК),0,0,0,0,0,0,0,0,0,0
,· превеждане през граница (чл.280 -281 НК),36,8.79,30,83.33,32,13,0,22,1,1
4.4.,Компютърни престъпления (чл.319а-319в  НК),3,0.73,0,0,0,0,0,0,0,0
4.5.,Престъпления против реда и общественото спокойствие (чл.320-329 НК),285,69.55,186,65.26,199,31,7,42,15,15
,"· образуване и участие в престъпна група (чл.321, 321а НК)",0,0,0,0,0,0,0,0,0,0
,· хулиганство (чл.325 НК),259,63.21,186,71.81,199,31,7,42,13,13
5,"Престъпления, извършени в условията на домашно насилие",345,84.2,195,56.52,178,11,3,7,38,36
6,Смъртни случаи без следи от насилие,74,18.06,0,0,0,0,0,0,0,0
,,,,,,,,,,"Престъпления,",
,Варна,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,(вкл. и противообществени прояви),,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,6535,1390.06,2574,39.39,1975,255,161,67,758,667
1,Престъпления против личността (чл.115 - 159 НК),664,141.24,264,39.76,246,12,31,13,78,80
1.1.,Убийство (чл.115-127 НК),18,3.83,5,27.78,5,0,0,1,1,1
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",4,0.85,4,100,4,0,0,1,0,0
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",1,0.21,1,100,1,0,0,0,0,0
,· Убийство от родител на новородено дете (чл.120-121 НК),1,0.21,0,0,0,0,0,0,0,0
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",1,0.21,0,0,0,0,0,0,1,1
1.2.,Разврат (чл.149-159 НК),41,8.72,20,48.78,17,0,2,3,7,7
,· Блудство (чл.149 - 150 НК),16,3.4,8,50,8,0,1,1,4,4
,· Изнасилване (чл.152 НК) - довършено,11,2.34,5,45.45,5,0,1,2,2,2
,· Изнасилване (чл.152 НК) - опит,2,0.43,1,50,1,0,0,0,0,0
,· Сводничество и отвличане за разврат (чл.155 - 156 НК),4,0.85,2,50,2,0,0,1,0,0
,· Престъпен/хомосексуализъм (чл.157 НК),0,0,0,0,0,0,0,0,0,0
1.3.,Телесна повреда (чл.128 - 135 НК),470,99.97,187,39.79,198,12,28,9,52,55
,"· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)",1,0.21,0,0,0,0,0,0,1,1
1.4.,"Отвличане и противозаконно лишаване от свобода (чл.142,142а НК)",7,1.49,2,28.57,3,0,0,0,3,3
1.5.,Задържане на заложник (чл.143а НК),0,0,0,0,0,0,0,0,0,0
1.6.,Трафик на хора (чл.159а - 159г НК),0,0,0,0,0,0,0,0,0,0
1.7.,Други против личността,128,27.23,50,39.06,44,0,1,0,15,15
2,"Престъпления против собствеността (чл.194 - 200, 206 - 217 НК)",3683,783.41,985,26.74,690,141,91,26,295,260
2.1.,Грабеж (чл.198 - 200 НК),96,20.42,60,62.5,63,1,11,1,6,7
,· въоръжен грабеж,3,0.64,3,100,5,0,0,0,0,0
,- чрез огнестрелно оръжие,1,0.21,1,100,2,0,0,0,0,0
2.2.,Кражба (чл.194 - 197 НК),2805,596.65,779,27.77,526,121,57,22,233,199
,· джебчийска,8,1.7,1,12.5,1,0,1,0,1,1
,· взломна,168,35.74,40,23.81,44,3,4,1,9,12
,· домова,219,46.58,67,30.59,64,8,7,0,24,24
,· от офиси,25,5.32,6,24,6,1,0,0,2,2
,· от магазини,663,141.03,352,53.09,231,82,27,15,77,64
,· на части и вещи от МПС,181,38.5,25,13.81,23,0,0,0,15,12
,"· на оръжие и боеприпаси - (чл.195,ал.1,т.10, чл.195,ал.3 НК)",5,1.06,0,0,0,0,0,0,1,2
,"· на селскостопанска продукция, домашни животни и птици",282,59.98,176,62.41,118,36,7,12,23,22
2.3.,"Измама (чл.209 - 211, 213 НК)",198,42.12,23,11.62,21,8,2,0,13,19
2.4.,Изнудване (чл.213а-214 а НК),14,2.98,5,35.71,6,0,0,0,2,2
2.5.,Други против собствеността,570,121.24,118,20.7,113,14,28,3,41,41
3,Общоопасни престъпления (чл.330-356 к НК),1732,368.41,1168,67.44,1014,92,38,27,318,288
3.1.,Палеж (чл.330-333 НК),91,19.36,11,12.09,12,2,1,2,1,1
,· повреждане чрез взрив (чл.333 НК),0,0,0,0,0,0,0,0,0,0
3.2.,"Незаконно производство, придобиване, държане и използване на оръжие (чл.337-339б НК)",23,4.89,12,52.17,13,0,0,0,4,4
3.3.,Посегателства спрямо МПС,68,14.46,19,27.94,18,0,1,0,23,22
,"· противозаконно отнемане на МПС (чл.346, ал.1, ал.2, ал.6 НК)",46,9.78,16,34.78,15,0,1,0,15,14
,"· съдействие при връщане на МПС с цел имотна облага (чл.346,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· кражба на МПС (чл.195, ал.1, т.12 НК)",22,4.68,3,13.64,3,0,0,0,8,9
,"· грабеж на МПС (чл.346, ал.5; чл.199, ал. 2, т. 2 НК)",0,0,0,0,0,0,0,0,0,0
3.4.,Други действия спрямо МПС,148,31.48,107,72.3,97,1,13,1,29,23
,· използване на чужди регистрационни номера на МПС  (чл.345 НК),138,29.35,104,75.36,94,1,13,1,28,22
,· заличаване/подправяне на идентификационни номера на МПС  (чл.345а НК),5,1.06,0,0,0,0,0,0,1,1
,· незаконно проникване в МПС (чл.346б НК),5,1.06,3,60,3,0,0,0,0,0
3.5.,"Престъпления с наркотици (чл.242,ал.2-3; чл.270,ал.2; чл.282,ал.5; чл.253,ал.4, чл.354а-354в НК)",548,116.56,437,79.74,391,44,24,6,54,51
,"· контрабанда (чл.242, ал.2 и ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· производство, преработване, придобиване, държане, разпространение, пренасяне (чл.354а НК)",519,110.4,415,79.96,379,43,24,5,52,50
,· склоняване/подпомагане към употреба (чл.354б НК),2,0.43,1,50,1,0,0,0,0,0
,· засяване/отглеждане на растения (чл.354в),27,5.74,21,77.78,23,1,0,1,2,2
,"· финансови операции и сделки със суми, придобити чрез трафик на наркотици (чл.253, ал.4 НК )",0,0,0,0,0,0,0,0,0,0
,"· възпрепятстване контрол върху трафик на наркотици (чл.270, ал.2 НК)",0,0,0,0,0,0,0,0,0,0
,"· неправомерен контрол върху дейности с наркотици (чл.282, ал.5 НК)",0,0,0,0,0,0,0,0,0,0
3.6.,Престъпления по транспорта (чл.340-344 НК),849,180.59,580,68.32,549,47,0,19,207,202
,"· транспортно причиняване на смърт по непредпазливост (чл.343,ал.1,б.”в”, ал.3, б. ""б”,ал. 4 НК)",26,5.53,8,30.77,8,2,0,0,4,4
,"· транспортни телесни повреди по непредпазливост (чл.343, ал.1, б.”б”, ал.3, б.”а"" НК)",117,24.89,27,23.08,26,4,0,3,42,42
3.7.,Други общоопасни,5,1.06,2,40,3,0,0,0,0,0
4,Други криминални престъпления,376,79.98,156,41.49,142,19,12,3,62,62
4.1.,"Престъпления против правата на гражданите (чл.162-169 г,170-171,174 а НК)",28,5.96,12,42.86,9,1,0,0,3,4
4.2.,"Престъпления против брака, семейството и младежта (чл.176-179,181-193 НК)",92,19.57,43,46.74,43,7,1,1,24,23
,· незаконно осиновяване и продажба на дете (чл.182а-182б НК),0,0,0,0,0,0,0,0,0,0
,· неплащане на издръжка (чл.183 НК),76,16.17,37,48.68,37,7,0,1,22,21
4.3.,Престъпления против дейността на държавни органи и обществени организации (чл.269-300 НК),105,22.33,48,45.71,38,3,1,0,20,20
,· използване на полицейски знаци/униформа - (чл.274а НК),0,0,0,0,0,0,0,0,0,0
,· незаконно преминаване през граница  (чл.279 НК),0,0,0,0,0,0,0,0,1,1
,· превеждане през граница (чл.280 -281 НК),0,0,0,0,0,0,0,0,0,0
4.4.,Компютърни престъпления (чл.319а-319в  НК),1,0.21,0,0,0,0,0,0,0,0
4.5.,Престъпления против реда и общественото спокойствие (чл.320-329 НК),150,31.91,53,35.33,53,8,10,2,15,15
,"· образуване и участие в престъпна група (чл.321, 321а НК)",2,0.43,1,50,5,1,0,0,0,0
,· хулиганство (чл.325 НК),113,24.04,42,37.17,38,6,7,2,14,14
5,"Престъпления, извършени в условията на домашно насилие",252,53.6,132,52.38,112,4,2,2,17,15
6,Смъртни случаи без следи от насилие,66,14.04,0,0,0,0,0,0,0,0
,,,,,,,,,,"Престъпления,",
,Велико Търново,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,(вкл. и противообществени прояви),,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,2255,981.64,1379,61.15,1201,224,159,18,322,317
1,Престъпления против личността (чл.115 - 159 НК),262,114.05,115,43.89,109,8,17,0,44,44
1.1.,Убийство (чл.115-127 НК),4,1.74,1,25,1,0,0,0,1,1
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",0,0,0,0,0,0,0,0,0,0
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",1,0.44,1,100,1,0,0,0,1,1
,· Убийство от родител на новородено дете (чл.120-121 НК),0,0,0,0,0,0,0,0,0,0
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",0,0,0,0,0,0,0,0,0,0
1.2.,Разврат (чл.149-159 НК),20,8.71,13,65,13,0,1,0,2,2
,· Блудство (чл.149 - 150 НК),9,3.92,8,88.89,9,0,1,0,1,1
,· Изнасилване (чл.152 НК) - довършено,4,1.74,3,75,3,0,0,0,0,0
,· Изнасилване (чл.152 НК) - опит,0,0,0,0,0,0,0,0,0,0
,· Сводничество и отвличане за разврат (чл.155 - 156 НК),0,0,0,0,0,0,0,0,0,0
,· Престъпен/хомосексуализъм (чл.157 НК),0,0,0,0,0,0,0,0,0,0
1.3.,Телесна повреда (чл.128 - 135 НК),165,71.83,66,40,68,5,14,0,24,26
,"· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)",1,0.44,0,0,0,0,0,0,0,0
